"Name","Tags","State","Notes","User","Created","Runtime","Sweep","accelerator","adata_path","batch_size","code_dim","decoder_hidden_dim","deeply_inject_covariates","devices","dropout_rate","early_stopping","encode_covariates","encoder_hidden_dim","encoder_type","eps","fig_dir","h_hidden_dim","initialize_embeddings_from_pca","junction_inclusion","latent_dim","learn_concentration","linformer_k","lr","lr_factor","lr_min","lr_patience","lr_threshold","max_epochs","model_dir","n_epochs_kl_warmup","num_transformer_layers","pool_mode","reduce_lr_on_plateau","save_best","shuffle_set_split","splice_likelihood","umap_colors","use_transformer","weight_decay","test_adata_path","train_adata_path","num_weight_vectors","temperature_fixed","temperature_value","forward_style","elbo_train","elbo_validation","epoch","kl_global_train","kl_global_validation","kl_local_train","kl_local_validation","kl_weight","model_saved_to","psi_pred_obs_pearson_corr","psi_pred_obs_spearman_corr","reconstruction_loss_train","reconstruction_loss_validation","silhouette_score","simulated/accuracy","simulated/f1_score","simulated/precision","simulated/recall","total_parameters","train_loss_epoch","train_loss_step","trainer/global_step","validation_loss","impute-test/n_masked_entries","impute-test/psi_pearson_corr_masked_atse","impute-test/psi_spearman_corr_masked_atse","real-test/accuracy","real-test/age_r2","real-test/f1_score","real-test/precision","real-test/psi_pearson_corr","real-test/psi_spearman_corr","real-test/recall","real-test/silhouette_score","real-train/accuracy","real-train/age_r2","real-train/f1_score","real-train/precision","real-train/psi_pearson_corr","real-train/psi_spearman_corr","real-train/recall","real-train/silhouette_score"
"denim-wildflower-243","fast","finished","-","","2025-08-19T15:15:41.000Z","7699","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeightATSE","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250819_111334/sweep_cd64_ld=10_lr=1e-5_1_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=5/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250819_111334/sweep_cd64_ld=10_lr=1e-5_1_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=5/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","5","false","1","","12.243492126464844","12.170248985290527","642","0","0","7.293559074401856","7.234527587890625","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250819_111334/sweep_cd64_ld=10_lr=1e-5_1_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=5/models","0.7728190534180694","0.7862524627592206","4.94993257522583","4.935721397399902","0.7983561158180237","0.95487590874906","0.9533192978461252","0.9531347952122268","0.95487590874906","830764","1252.99365234375","1216.1351318359375","45652","1235.2745361328125","","","","","","","","","","","","","","","","","","",""
"proud-haze-243","fast","finished","-","","2025-08-19T15:15:41.000Z","5070","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderEDDIATSE","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250819_111334/sweep_cd64_ld=10_lr=1e-5_0_PartialEncoderEDDIATSE_pool=mean/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250819_111334/sweep_cd64_ld=10_lr=1e-5_0_PartialEncoderEDDIATSE_pool=mean/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","4","false","1","","12.403993606567385","12.39010524749756","604","0","0","7.37087345123291","7.333451747894287","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250819_111334/sweep_cd64_ld=10_lr=1e-5_0_PartialEncoderEDDIATSE_pool=mean/models","0.766775858336782","0.7800669263267868","5.033120155334473","5.0566534996032715","0.6995373964309692","0.9180245675607922","0.9073746401693116","0.8980373434926187","0.9180245675607922","807671","1281.9395751953125","1388.9088134765625","42954","1267.669921875","","","","","","","","","","","","","","","","","","",""
"noble-dawn-242","temp","finished","-","","2025-08-19T03:24:41.000Z","5892","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeight","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_170556/sweep_cd64_0_PartialEncoderWeightedSumEDDIMultiWeight_W=5/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_170556/sweep_cd64_0_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","5","false","1","","12.270727157592772","12.257329940795898","511","0","0","7.045431137084961","6.964669704437256","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_170556/sweep_cd64_0_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","0.7670007272516913","0.776403211967971","5.2252960205078125","5.292660236358643","0.7702191472053528","0.9588869390824768","0.9567771888728688","0.9569041143991412","0.9588869390824768","777308","1326.8953857421875","1524.8841552734375","36351","1327.8798828125","","","","","","","","","","","","","","","","","","",""
"sunny-smoke-241","temp","finished","-","","2025-08-18T20:50:48.000Z","6443","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeight","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_163310/sweep_cd64_0_PartialEncoderWeightedSumEDDIMultiWeight_W=5/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_163310/sweep_cd64_0_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","5","true","1","","12.18459129333496","12.225126266479492","560","0","0","7.070087432861328","7.049477577209473","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_163310/sweep_cd64_0_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","0.7708337165867788","0.7830201466907105","5.114503860473633","5.175648212432861","0.7686879634857178","0.955377287540737","0.9510938098184876","0.9516017944671976","0.955377287540737","777308","1296.78857421875","1239.501708984375","39830","1302.689453125","","","","","","","","","","","","","","","","","","",""
"sparkling-eon-227","fast","finished","-","","2025-08-18T15:20:47.000Z","5294","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeight","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_111827/sweep_cd64_1_PartialEncoderWeightedSumEDDIMultiWeight_W=1/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_111827/sweep_cd64_1_PartialEncoderWeightedSumEDDIMultiWeight_W=1/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","1","true","-1","","12.414281845092772","12.528711318969728","559","0","0","7.357384204864502","7.299871921539307","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_111827/sweep_cd64_1_PartialEncoderWeightedSumEDDIMultiWeight_W=1/models","0.7679363003374289","0.7781633095514965","5.056897163391113","5.228839874267578","0.7682788968086243","0.9511155678114817","0.9463519374761444","0.9443512121519524","0.9511155678114817","756504","1287.370849609375","1153.148193359375","39759","1311.53564453125","","","","","","","","","","","","","","","","","","",""
"charmed-hill-228","fast","finished","-","","2025-08-18T15:20:47.000Z","5337","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeight","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_111827/sweep_cd64_1_PartialEncoderWeightedSumEDDIMultiWeight_W=3/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_111827/sweep_cd64_1_PartialEncoderWeightedSumEDDIMultiWeight_W=3/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","3","true","-1","","12.109091758728027","12.24846076965332","504","0","0","6.861482620239258","6.838181495666504","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_111827/sweep_cd64_1_PartialEncoderWeightedSumEDDIMultiWeight_W=3/models","0.7677678923898166","0.7788573049975441","5.2476091384887695","5.410279750823975","0.7667077779769897","0.9601403860616696","0.957042374496382","0.9582005619049018","0.9601403860616696","769050","1332.5526123046875","1294.0225830078125","35854","1356.1136474609375","","","","","","","","","","","","","","","","","","",""
"giddy-plant-227","fast, temp","finished","-","","2025-08-18T15:20:47.000Z","7317","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeight","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_111827/sweep_cd64_1_PartialEncoderWeightedSumEDDIMultiWeight_W=5/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_111827/sweep_cd64_1_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","5","true","-1","","12.320908546447754","12.521678924560549","639","0","0","7.373814105987549","7.30339241027832","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_111827/sweep_cd64_1_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","0.7736786214434337","0.7862891231220943","4.947094440460205","5.218286514282227","0.7957643270492554","0.9654048633742792","0.9640126606807906","0.9646764949435672","0.9654048633742792","777308","1257.0198974609375","1330.3682861328125","45439","1305.5797119140625","","","","","","","","","","","","","","","","","","",""
"warm-vortex-214","fast","finished","-","","2025-08-18T14:34:32.000Z","4968","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderEDDI","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_103258/sweep_cd64_0_PartialEncoderEDDI_pool=sum/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_103258/sweep_cd64_0_PartialEncoderEDDI_pool=sum/models","50","2","sum","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","4","true","-1","","12.540143013000488","12.506006240844728","617","0","0","7.5513081550598145","7.500731945037842","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_103258/sweep_cd64_0_PartialEncoderEDDI_pool=sum/models","0.7714916690903377","0.7837731238304781","4.988834857940674","5.005274295806885","0.7836588621139526","0.957633492103284","0.9556924012730688","0.9550857881968824","0.957633492103284","754391","1267.68017578125","1225.189697265625","43877","1255.99169921875","","","","","","","","","","","","","","","","","","",""
"skilled-lake-214","fast","finished","-","","2025-08-18T14:34:32.000Z","4285","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderEDDI","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_103258/sweep_cd64_1_PartialEncoderEDDI_pool=mean/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_103258/sweep_cd64_1_PartialEncoderEDDI_pool=mean/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","4","true","-1","","12.648025512695312","12.540847778320312","534","0","0","7.482382297515869","7.429239749908447","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250818_103258/sweep_cd64_1_PartialEncoderEDDI_pool=mean/models","0.7666142860740937","0.7774182952307314","5.165642738342285","5.111608028411865","0.7727082967758179","0.9556279769365756","0.9532260028058316","0.954475296966868","0.9556279769365756","754391","1313.400634765625","1330.8345947265625","37984","1279.59716796875","","","","","","","","","","","","","","","","","","",""
"confused-butterfly-212","slow","finished","-","","2025-08-13T23:26:01.000Z","15593","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeightATSE","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_5_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=5/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_5_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=5/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","5","true","-1","","12.19383430480957","12.27911376953125","471","0","0","6.830333232879639","6.77730655670166","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_5_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=5/models","0.7651401331864577","0.7755531214207911","5.363500595092773","5.50180721282959","0.7707648873329163","0.95487590874906","0.952054825808436","0.9536595155941172","0.95487590874906","6329508","1363.9542236328125","1422.23974609375","33511","1376.1173095703125","","","","","","","","","","","","","","","","","","",""
"hearty-snowball-211","slow","finished","-","","2025-08-13T23:22:50.000Z","18486","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeightATSE","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_5_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=3/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_5_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=3/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","3","true","-1","","12.286088943481444","12.24575424194336","551","0","0","7.105868339538574","7.054332256317139","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_5_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=3/models","0.7684603981470327","0.7801124679211726","5.180220127105713","5.191421985626221","0.7878903746604919","0.9623965906242166","0.960793917443155","0.9623347780069604","0.9623965906242166","6317984","1310.21728515625","1395.9195556640625","39191","1297.595458984375","","","","","","","","","","","","","","","","","","",""
"fresh-violet-210","slow","finished","-","","2025-08-13T22:56:20.000Z","15775","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeightATSE","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_5_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=1/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_5_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=1/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","1","true","-1","","12.515129089355469","12.474554061889648","514","0","0","7.311004161834717","7.271284580230713","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_5_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=1/models","0.7678670091492027","0.7764603301876548","5.20412540435791","5.203269958496094","0.7693504095077515","0.959889696665831","0.9571268337220108","0.9573713428952856","0.959889696665831","6302172","1324.16943359375","1317.754150390625","36564","1304.6788330078125","","","","","","","","","","","","","","","","","","",""
"frosty-dream-209","slow","finished","-","","2025-08-13T22:37:50.000Z","10902","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeight","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_4_PartialEncoderWeightedSumEDDIMultiWeight_W=5/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_4_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","5","true","-1","","12.362424850463867","12.40060806274414","532","0","0","7.188647747039795","7.135987758636475","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_4_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","0.766491034874424","0.7747246324926601","5.173777103424072","5.264619827270508","0.7743731141090393","0.9521183253948358","0.9487406274890224","0.9479344479068222","0.9521183253948358","777308","1315.1341552734375","1279.4447021484375","37842","1317.787109375","","","","","","","","","","","","","","","","","","",""
"dutiful-field-208","slow","finished","-","","2025-08-13T22:34:36.000Z","7749","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeight","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_4_PartialEncoderWeightedSumEDDIMultiWeight_W=1/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_4_PartialEncoderWeightedSumEDDIMultiWeight_W=1/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","1","true","-1","","12.25921630859375","12.22145652770996","429","0","0","6.62723970413208","6.589553356170654","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_4_PartialEncoderWeightedSumEDDIMultiWeight_W=1/models","0.7580824698291003","0.7680679185553303","5.631976127624512","5.631902694702148","0.7249468564987183","0.9488593632489346","0.9454894568952326","0.9471329880091952","0.9488593632489346","756504","1429.0941162109375","1527.564208984375","30529","1408.148193359375","","","","","","","","","","","","","","","","","","",""
"solar-cosmos-207","slow","finished","-","","2025-08-13T22:34:35.000Z","10641","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeight","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_4_PartialEncoderWeightedSumEDDIMultiWeight_W=3/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_4_PartialEncoderWeightedSumEDDIMultiWeight_W=3/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","3","true","-1","","12.593620300292969","12.760573387145996","497","0","0","7.297425270080566","7.357640743255615","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_4_PartialEncoderWeightedSumEDDIMultiWeight_W=3/models","0.7603082492261096","0.7686490747026204","5.296194553375244","5.402932643890381","0.7621525526046753","0.9533717723740286","0.950349064157304","0.951538998865406","0.9533717723740286","769050","1349.8543701171875","1259.1331787109375","35357","1351.437255859375","","","","","","","","","","","","","","","","","","",""
"rural-snowball-205","slow","finished","-","","2025-08-13T21:11:39.000Z","8003","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderEDDIATSE","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_2_PartialEncoderEDDIATSE_pool=sum/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_2_PartialEncoderEDDIATSE_pool=sum/models","50","2","sum","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","4","true","-1","","12.624271392822266","12.70643138885498","587","0","0","7.627995491027832","7.547353744506836","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_2_PartialEncoderEDDIATSE_pool=sum/models","0.7636797565867327","0.7762679660218402","4.996275901794434","5.1590776443481445","0.7494426965713501","0.9518676359989972","0.9457437839031716","0.9459479875958876","0.9518676359989972","963415","1276.32373046875","1145.04638671875","41747","1293.9200439453125","","","","","","","","","","","","","","","","","","",""
"silver-aardvark-204","slow","finished","-","","2025-08-13T21:04:36.000Z","8163","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderEDDI","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_1_PartialEncoderEDDI_pool=mean/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_1_PartialEncoderEDDI_pool=mean/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","4","true","-1","","12.32798957824707","12.194416046142578","630","0","0","7.363822937011719","7.316086769104004","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_1_PartialEncoderEDDI_pool=mean/models","0.7757867219268989","0.7883811060086773","4.96416711807251","4.878328800201416","0.8002467155456543","0.9601403860616696","0.9585940225535426","0.9589579766815152","0.9601403860616696","754391","1260.2279052734375","1353.4083251953125","44800","1222.83349609375","","","","","","","","","","","","","","","","","","",""
"celestial-waterfall-203","slow","finished","-","","2025-08-13T18:13:24.000Z","7264","","auto","/gpfs/commons/groups/knowles_lab/Karin/TMS_MODELING/DATA_FILES/SIMULATED/simulated_data_2025-03-12.h5ad","256","64","","true","auto","0.01","true","false","128","PartialEncoderEDDI","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_0_PartialEncoderEDDI_pool=sum/figures","64","true","","10","true","","0.00001","0.6","0","30","0","750","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_0_PartialEncoderEDDI_pool=sum/models","50","2","sum","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","","","4","true","-1","","12.390470504760742","12.706732749938965","597","0","0","7.385998725891113","7.343112468719482","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250813_141202/sweep_cd64_0_PartialEncoderEDDI_pool=sum/models","0.7697018332652266","0.7815035479758988","5.004472255706787","5.363620281219482","0.7663695812225342","0.950363499623966","0.9447414338353832","0.947741619106911","0.950363499623966","754391","1270.227783203125","1236.682861328125","42457","1347.1798095703125","","","","","","","","","","","","","","","","","","",""